source,target,evidence,iLIS,fdr
Diap1,InR,fly,0.2636,FDR 10
Diap1,egr,fly,0.2558,FDR 10
Diap1,RpS3,both,0.2449,FDR 10
Diap1,EndoG,both,0.2438,FDR 10
Diap1,DUBAI,both,0.228,FDR 10
CG1690,eIF4E7,fly,0.6877,FDR 1
MetRS,LeuRS,both,0.4706,FDR 5
MetRS,GluProRS,both,0.365,FDR 5
MetRS,AIMP1,both,0.3276,FDR 10
MetRS,IleRS,both,0.2746,FDR 10
eIF4E4,eIF4G1,both,0.6136,FDR 1
eIF4E4,Hsc70-4,diopt4,0.2378,FDR 10
emc,amos,fly,0.7245,FDR 1
emc,l(1)sc,both,0.7238,FDR 1
emc,ac,both,0.7039,FDR 1
emc,HLH4C,both,0.7028,FDR 1
emc,sage,both,0.6693,FDR 1
emc,net,fly,0.662,FDR 1
emc,prod,fly,0.4276,FDR 5
emc,Pkcdelta,diopt4,0.3602,FDR 5
emc,Pkc53E,diopt4,0.3024,FDR 10
emc,Erk7,diopt4,0.2996,FDR 10
amos,E(spl)m8-HLH,fly,0.6759,FDR 1
amos,CkIalpha,diopt4,0.5403,FDR 5
amos,Erk7,diopt4,0.2924,FDR 10
Rnmt,Hsc70-4,diopt4,0.3964,FDR 5
e(y)2b,Rsph3,fly,0.5128,FDR 5
e(y)2b,CG15514,fly,0.4352,FDR 5
asf1,Daxx,fly,0.5688,FDR 1
asf1,Caf1-180,both,0.5345,FDR 5
asf1,Hira,both,0.4094,FDR 5
asf1,H,fly,0.3511,FDR 5
asf1,CG15631,fly,0.3321,FDR 10
asf1,dlt,both,0.3156,FDR 10
asf1,Hsc70-4,diopt4,0.3138,FDR 10
asf1,CG15891,fly,0.2626,FDR 10
asf1,CG15356,both,0.2248,FDR 10
l(1)sc,jumu,fly,0.3176,FDR 10
l(1)sc,Hr78,fly,0.312,FDR 10
l(1)sc,Pten,diopt4,0.3025,FDR 10
l(1)sc,Drgx,fly,0.2936,FDR 10
l(1)sc,CG15771,fly,0.2613,FDR 10
l(1)sc,Dll,fly,0.2485,FDR 10
eIF4E7,cup,fly,0.6821,FDR 1
eIF4E7,Gld2,fly,0.58,FDR 1
eIF4E7,eIF4G1,both,0.5769,FDR 1
eIF4E7,CG16812,fly,0.4395,FDR 5
eIF4E7,CG9775,fly,0.329,FDR 10
Roc1a,Cul1,both,0.5917,FDR 1
Roc1a,Cul4,both,0.5797,FDR 1
Roc1a,Cul2,both,0.5499,FDR 5
Roc1a,Cul3,both,0.5158,FDR 5
Lsm12a,Atx2,both,0.7229,FDR 1
Lsm12a,me31B,both,0.63,FDR 1
Atx2,me31B,both,0.561,FDR 1
Atx2,CG14894,fly,0.5232,FDR 5
Atx2,mbt,diopt4,0.4501,FDR 5
Atx2,gek,diopt4,0.3834,FDR 5
Atx2,vri,fly,0.3464,FDR 5
Atx2,per,fly,0.3344,FDR 10
Atx2,kel,both,0.3321,FDR 10
Atx2,sgg,fly,0.3212,FDR 10
Atx2,Dhx15,both,0.2803,FDR 10
Atx2,Map205,fly,0.2717,FDR 10
Atx2,Usp10,both,0.2697,FDR 10
Atx2,Pdp1,fly,0.2512,FDR 10
nau,Hand,both,0.7226,FDR 1
nau,kn,fly,0.5533,FDR 1
nau,Ets65A,fly,0.4569,FDR 5
nau,Pkc98E,diopt4,0.4433,FDR 5
nau,Pkc53E,diopt4,0.4292,FDR 5
nau,exd,both,0.3933,FDR 5
nau,Pkcdelta,diopt4,0.3667,FDR 5
nau,DCX-EMAP,fly,0.3516,FDR 5
nau,Rcd-1r,fly,0.3226,FDR 10
nau,Erk7,diopt4,0.2712,FDR 10
nau,p38c,diopt4,0.2698,FDR 10
nau,CG14305,diopt4,0.2269,FDR 10
Hand,Pka-C2,diopt4,0.5236,FDR 5
Hand,Pka-C3,diopt4,0.4945,FDR 5
Hand,CG12069,diopt4,0.4756,FDR 5
Hand,Pkc53E,diopt4,0.3939,FDR 5
Hand,Pkc98E,diopt4,0.3378,FDR 10
Hand,Pka-C1,diopt4,0.2675,FDR 10
ph-p,Psc,both,0.6291,FDR 1
ph-p,Su(z)2,both,0.6278,FDR 1
ph-p,Scm,both,0.4866,FDR 5
ph-p,p38b,diopt4,0.3745,FDR 5
ph-p,Pli,fly,0.3652,FDR 5
ph-p,Taf5,fly,0.3465,FDR 5
ph-p,mts,diopt4,0.3325,FDR 10
ph-p,PpV,diopt4,0.32,FDR 10
ph-p,CkIIalpha,diopt4,0.3026,FDR 10
ph-p,crol,fly,0.294,FDR 10
ph-p,ci,fly,0.2887,FDR 10
ph-p,eff,fly,0.2816,FDR 10
ph-p,dpp,fly,0.271,FDR 10
ph-p,Pp1-Y2,diopt4,0.266,FDR 10
ph-p,brm,fly,0.2579,FDR 10
ph-p,prc,fly,0.2391,FDR 10
ph-p,PpD5,diopt4,0.2315,FDR 10
Trx-2,CG8993,both,0.7145,FDR 1
Trx-2,Trxr-2,fly,0.6717,FDR 1
Trx-2,Trxr-1,fly,0.6695,FDR 1
Trx-2,Prosalpha1,both,0.6574,FDR 1
Trx-2,Prosbeta3,both,0.6573,FDR 1
Trx-2,wuho,fly,0.6092,FDR 1
Trx-2,Uev1A,both,0.5813,FDR 1
Trx-2,Chd64,both,0.5724,FDR 1
Trx-2,SerRS,fly,0.4827,FDR 5
Trx-2,CG7860,fly,0.4659,FDR 5
Trx-2,CG7054,fly,0.3919,FDR 5
Trx-2,Jupiter,fly,0.3885,FDR 5
Trx-2,Ccs,both,0.3782,FDR 5
Trx-2,cib,fly,0.3682,FDR 5
Trx-2,ct,fly,0.3312,FDR 10
Trx-2,Cdc42,diopt4,0.2573,FDR 10
Trx-2,NO66,both,0.2484,FDR 10
Trx-2,Prosbeta1,both,0.2343,FDR 10
Alp12,Alp13,diopt4,0.5875,FDR 1
Alp12,CG15011,diopt4,0.4058,FDR 5
Alp12,vvl,diopt4,0.3316,FDR 10
PrBP,dnd,both,0.7219,FDR 1
dnd,BBS5,fly,0.5349,FDR 5
lz,Bgb,both,0.7217,FDR 1
lz,bon,diopt4,0.41,FDR 5
lz,srp,both,0.3915,FDR 5
lz,Ras85D,fly,0.3324,FDR 10
lz,Csk,diopt4,0.3303,FDR 10
lz,sv,both,0.3005,FDR 10
lz,p38a,diopt4,0.2897,FDR 10
lz,PKD,diopt4,0.2852,FDR 10
lz,p38c,diopt4,0.2744,FDR 10
lz,mnb,diopt4,0.25,FDR 10
lz,Pp2B-14D,diopt4,0.246,FDR 10
lz,Raf,diopt4,0.2258,FDR 10
Bgb,Pka-C3,diopt4,0.6638,FDR 1
Bgb,mop,diopt4,0.3499,FDR 5
Bgb,Src42A,diopt4,0.2753,FDR 10
Bgb,csw,diopt4,0.2395,FDR 10
Prx5,Urm1,both,0.2415,FDR 10
gus,CG13631,fly,0.7203,FDR 1
gus,Cyp1,fly,0.5414,FDR 5
gus,CG5376,fly,0.504,FDR 5
gus,CG5111,fly,0.4377,FDR 5
gus,gukh,fly,0.2791,FDR 10
gus,CG3703,fly,0.2673,FDR 10
gus,CG16890,fly,0.2606,FDR 10
CG13631,Fsn,fly,0.698,FDR 1
CG13631,EloB,fly,0.3143,FDR 10
bic,CG42458,diopt4,0.4473,FDR 5
bic,Lim3,fly,0.383,FDR 5
bic,CG10459,diopt4,0.3681,FDR 5
bic,bon,diopt4,0.3409,FDR 5
bic,Pka-C3,fly,0.3224,FDR 10
bic,Pak,diopt4,0.3129,FDR 10
bic,Mbs,diopt4,0.3096,FDR 10
bic,sff,diopt4,0.2817,FDR 10
bic,Srpk79D,diopt4,0.2797,FDR 10
bic,CG8565,diopt4,0.278,FDR 10
bic,AMPKalpha,diopt4,0.274,FDR 10
bic,Pkn,diopt4,0.2718,FDR 10
bic,ball,diopt4,0.2594,FDR 10
bic,Pak3,diopt4,0.2513,FDR 10
bic,Src42A,diopt4,0.251,FDR 10
bic,p120ctn,diopt4,0.2429,FDR 10
bic,gek,diopt4,0.2318,FDR 10
U4-U6-60K,Prp3,both,0.6421,FDR 1
U4-U6-60K,RpS19b,both,0.5091,FDR 5
U4-U6-60K,mRpL1,fly,0.3149,FDR 10
U4-U6-60K,Ras85D,fly,0.2976,FDR 10
U4-U6-60K,Tdrd3,fly,0.2769,FDR 10
U4-U6-60K,mRpS30,fly,0.2421,FDR 10
Madm,bun,both,0.7201,FDR 1
Madm,Wnk,diopt4,0.4855,FDR 5
Madm,vn,fly,0.4491,FDR 5
Madm,CkIIbeta2,diopt4,0.3548,FDR 5
Madm,Pka-C1,diopt4,0.2614,FDR 10
Madm,ey,diopt4,0.2523,FDR 10
Madm,Src42A,diopt4,0.2414,FDR 10
Madm,par-1,diopt4,0.2264,FDR 10
bun,Pka-C1,diopt4,0.5296,FDR 5
bun,CG2145,fly,0.4658,FDR 5
bun,CkIalpha,diopt4,0.4364,FDR 5
bun,S6k,both,0.3383,FDR 10
bun,vn,both,0.3375,FDR 10
bun,hpo,fly,0.3129,FDR 10
bun,Trim9,fly,0.2936,FDR 10
bun,Rbf,both,0.2368,FDR 10
WASp,Whamy,fly,0.6625,FDR 1
WASp,Cdc42,both,0.6337,FDR 1
WASp,chic,fly,0.524,FDR 5
WASp,Abp1,both,0.5125,FDR 5
WASp,Atg16,diopt4,0.471,FDR 5
WASp,Pak3,fly,0.4707,FDR 5
WASp,dock,both,0.4623,FDR 5
WASp,H,fly,0.4604,FDR 5
WASp,fog,fly,0.4583,FDR 5
WASp,Dap160,both,0.4474,FDR 5
WASp,Arp3,both,0.4372,FDR 5
WASp,Crk,both,0.4179,FDR 5
WASp,RhoGAP92B,fly,0.4147,FDR 5
WASp,nwk,both,0.3059,FDR 10
WASp,Amph,both,0.3017,FDR 10
WASp,Abi,both,0.2777,FDR 10
WASp,wit,fly,0.2538,FDR 10
WASp,CkIIalpha,both,0.2532,FDR 10
WASp,SH3PX1,both,0.2287,FDR 10
WASp,ct,fly,0.225,FDR 10
RYBP,Psc,both,0.5858,FDR 1
RYBP,Su(z)2,both,0.5318,FDR 5
RYBP,Pc,both,0.5116,FDR 5
RYBP,grh,fly,0.455,FDR 5
RYBP,Dredd,both,0.4284,FDR 5
RYBP,CG14073,both,0.228,FDR 10
babo,lectin-46Cb,diopt4,0.7197,FDR 1
babo,wit,diopt4,0.6302,FDR 1
babo,lectin-46Ca,diopt4,0.6097,FDR 1
babo,dally,diopt4,0.5656,FDR 1
babo,CG10459,diopt4,0.5068,FDR 5
babo,Mad,both,0.4578,FDR 5
babo,Snoo,both,0.4554,FDR 5
babo,daw,both,0.4504,FDR 5
babo,scw,diopt4,0.441,FDR 5
babo,CkIIbeta2,diopt4,0.4322,FDR 5
babo,CG4613,diopt4,0.4271,FDR 5
babo,CG3355,diopt4,0.427,FDR 5
babo,dpp,diopt4,0.4259,FDR 5
babo,mav,diopt4,0.4195,FDR 5
babo,CG4914,diopt4,0.4102,FDR 5
babo,Ret,diopt4,0.4054,FDR 5
babo,CG9294,diopt4,0.4041,FDR 5
babo,Ssl,diopt4,0.4026,FDR 5
babo,Smox,both,0.3986,FDR 5
babo,Spn47C,diopt4,0.3916,FDR 5
babo,CG15116,diopt4,0.3912,FDR 5
babo,CG8569,diopt4,0.3906,FDR 5
babo,tpr,diopt4,0.388,FDR 5
babo,Frq1,fly,0.3808,FDR 5
babo,FoxP,diopt4,0.3766,FDR 5
babo,CG18735,diopt4,0.3741,FDR 5
babo,lectin-33A,diopt4,0.3739,FDR 5
babo,Tab2,diopt4,0.37,FDR 5
babo,Spn38F,diopt4,0.3655,FDR 5
babo,Ama,diopt4,0.3633,FDR 5
babo,Spn31A,diopt4,0.3535,FDR 5
babo,Sfp24F,diopt4,0.3443,FDR 5
babo,Eph,diopt4,0.3305,FDR 10
babo,CDC50,diopt4,0.324,FDR 10
babo,tkv,both,0.3163,FDR 10
babo,Lkb1,diopt4,0.2995,FDR 10
babo,Nepl14,diopt4,0.2953,FDR 10
babo,Spn77Ba,diopt4,0.2877,FDR 10
babo,EcR,both,0.2841,FDR 10
babo,Egfr,diopt4,0.2831,FDR 10
babo,sgg,diopt4,0.2695,FDR 10
babo,CG11192,diopt4,0.269,FDR 10
babo,Nepl12,diopt4,0.2654,FDR 10
babo,bsk,fly,0.2629,FDR 10
babo,Actbeta,diopt4,0.2443,FDR 10
babo,NetB,fly,0.2422,FDR 10
babo,RtGEF,diopt4,0.2308,FDR 10
babo,gbb,diopt4,0.225,FDR 10
lectin-46Cb,Tango1,diopt4,0.4426,FDR 5
lectin-46Cb,Stim,diopt4,0.437,FDR 5
lectin-46Cb,Nep1,diopt4,0.343,FDR 5
lectin-46Cb,tkv,diopt4,0.3335,FDR 10
lectin-46Cb,Ost48,diopt4,0.2986,FDR 10
lectin-46Cb,Nep7,diopt4,0.2743,FDR 10
lectin-46Cb,CG17593,diopt4,0.2671,FDR 10
lectin-46Cb,sax,diopt4,0.2663,FDR 10
lectin-46Cb,Nepl12,diopt4,0.2341,FDR 10
lectin-46Cb,PlexB,diopt4,0.2329,FDR 10
lectin-46Cb,CG33310,diopt4,0.2254,FDR 10
ranshi,CG18764,fly,0.7196,FDR 1
ranshi,Zif,fly,0.6685,FDR 1
ranshi,CG6654,fly,0.5945,FDR 1
CG18764,CG1792,fly,0.7169,FDR 1
CG18764,CG8159,fly,0.7118,FDR 1
CG18764,CG4854,fly,0.681,FDR 1
CG18764,CG15436,fly,0.6587,FDR 1
CG18764,CG7386,fly,0.6461,FDR 1
CG18764,Pfdn1,fly,0.393,FDR 5
CG18764,CG15073,fly,0.2959,FDR 10
Cdlc2,ko,both,0.7082,FDR 1
Cdlc2,CG33213,fly,0.6517,FDR 1
Cdlc2,insv,fly,0.6322,FDR 1
Cdlc2,CG42268,fly,0.6305,FDR 1
Cdlc2,bora,both,0.6159,FDR 1
Cdlc2,stv,fly,0.6144,FDR 1
Cdlc2,CG11125,fly,0.5831,FDR 1
Cdlc2,ana2,fly,0.537,FDR 5
Cdlc2,geminin,fly,0.5217,FDR 5
Cdlc2,Fgop2,fly,0.5186,FDR 5
Cdlc2,CG17601,fly,0.4944,FDR 5
Cdlc2,CG31038,fly,0.465,FDR 5
Cdlc2,swa,fly,0.3593,FDR 5
Cdlc2,fest,fly,0.2898,FDR 10
Cdlc2,CG14864,fly,0.2267,FDR 10
Cdc42,par-6,both,0.6996,FDR 1
Cdc42,Vav,diopt4,0.6863,FDR 1
Cdc42,conu,diopt4,0.6713,FDR 1
Cdc42,GEFmeso,both,0.669,FDR 1
Cdc42,RhoGAP92B,both,0.658,FDR 1
Cdc42,mbt,both,0.6333,FDR 1
Cdc42,CG5916,diopt4,0.6249,FDR 1
Cdc42,RhoGEF2,both,0.622,FDR 1
Cdc42,RhoGDI,diopt4,0.6212,FDR 1
Cdc42,RhoGAP93B,diopt4,0.6172,FDR 1
Cdc42,Frl,both,0.596,FDR 1
Cdc42,DAAM,both,0.5693,FDR 1
Cdc42,pbl,both,0.5669,FDR 1
Cdc42,Mad,diopt4,0.5603,FDR 1
Cdc42,Cip4,both,0.5499,FDR 5
Cdc42,dia,diopt4,0.5467,FDR 5
Cdc42,Whamy,fly,0.5341,FDR 5
Cdc42,Ced-12,diopt4,0.533,FDR 5
Cdc42,RapGAP1,diopt4,0.5315,FDR 5
Cdc42,Pak,both,0.5297,FDR 5
Cdc42,Ost48,diopt4,0.5282,FDR 5
Cdc42,Pkc98E,diopt4,0.5051,FDR 5
Cdc42,slpr,both,0.4977,FDR 5
Cdc42,RasGAP1,diopt4,0.4889,FDR 5
Cdc42,RN-tre,diopt4,0.4863,FDR 5
Cdc42,Sra-1,diopt4,0.4851,FDR 5
Cdc42,Zir,both,0.4782,FDR 5
Cdc42,gek,both,0.4741,FDR 5
Cdc42,par-1,diopt4,0.4699,FDR 5
Cdc42,Pak3,both,0.4636,FDR 5
Cdc42,C3G,both,0.4562,FDR 5
Cdc42,CG2852,diopt4,0.4456,FDR 5
Cdc42,SMC2,diopt4,0.4357,FDR 5
Cdc42,robo1,both,0.4337,FDR 5
Cdc42,Pka-R2,diopt4,0.4021,FDR 5
Cdc42,Sos,both,0.3982,FDR 5
Cdc42,Nf1,diopt4,0.3939,FDR 5
Cdc42,didum,diopt4,0.383,FDR 5
Cdc42,Pi3K92E,both,0.3741,FDR 5
Cdc42,pico,diopt4,0.3634,FDR 5
Cdc42,CG32344,diopt4,0.3165,FDR 10
Cdc42,RhoGAP100F,both,0.3117,FDR 10
Cdc42,grp,fly,0.2902,FDR 10
Cdc42,CG42458,diopt4,0.2606,FDR 10
Cdc42,mew,diopt4,0.2536,FDR 10
Cdc42,lilli,fly,0.251,FDR 10
Cdc42,LIMK1,fly,0.2485,FDR 10
Rca1,fzr,both,0.5306,FDR 5
Rca1,CG3448,fly,0.5296,FDR 5
Rca1,fzy,diopt4,0.485,FDR 5
Rca1,CycE,fly,0.4573,FDR 5
Rca1,CycA,fly,0.4164,FDR 5
Rca1,Hsc70-2,both,0.2325,FDR 10
Wdr82,PNUTS,both,0.718,FDR 1
Wdr82,su(sable),both,0.6243,FDR 1
Wdr82,REPTOR-BP,fly,0.6015,FDR 1
Wdr82,Set1,both,0.5803,FDR 1
Wdr82,Ccs,fly,0.3707,FDR 5
PNUTS,flw,both,0.6563,FDR 1
PNUTS,Cdk12,both,0.4469,FDR 5
PNUTS,gw,fly,0.4258,FDR 5
PNUTS,Pka-C1,diopt4,0.4137,FDR 5
PNUTS,CycK,fly,0.3739,FDR 5
PNUTS,Ccs,fly,0.313,FDR 10
PNUTS,dco,diopt4,0.2468,FDR 10
betaNACtes1,CSN7,fly,0.4249,FDR 5
betaNACtes1,Pglym78,fly,0.2454,FDR 10
Got1,Got2,both,0.7177,FDR 1
Got1,Kyat,diopt4,0.4058,FDR 5
Got1,Hsc70-4,diopt4,0.2913,FDR 10
Got1,CG11777,both,0.2831,FDR 10
Got2,Kyat,diopt4,0.6538,FDR 1
Got2,CG1640,diopt4,0.4702,FDR 5
Got2,Psa,both,0.3764,FDR 5
Got2,Nup93-1,fly,0.3624,FDR 5
Got2,PCNA,fly,0.3538,FDR 5
Got2,ATPsynO,both,0.3418,FDR 5
Got2,Vinc,fly,0.2969,FDR 10
Got2,HmgD,fly,0.2379,FDR 10
Got2,Tom20,fly,0.225,FDR 10
cpb,cpa,both,0.7177,FDR 1
cpb,cindr,both,0.4576,FDR 5
cpb,LRR,both,0.431,FDR 5
cpb,pbl,diopt4,0.3234,FDR 10
cpb,Pkn,both,0.2883,FDR 10
cpb,shrb,fly,0.2683,FDR 10
cpb,Arpc2,both,0.268,FDR 10
cpa,par-1,diopt4,0.3114,FDR 10
cpa,cindr,both,0.2759,FDR 10
cpa,CG15710,fly,0.2719,FDR 10
cpa,Arp3,both,0.2289,FDR 10
CG8004,CG9393,both,0.7177,FDR 1
CG8004,CG7639,both,0.5727,FDR 1
CG11885,CG13319,fly,0.7174,FDR 1
CG11885,Prosalpha6T,both,0.677,FDR 1
CG11885,Prosalpha6,both,0.6606,FDR 1
CG11885,Prosalpha5,both,0.2885,FDR 10
CG11885,Prosalpha4,both,0.2809,FDR 10
CG13319,PSMG1,fly,0.3925,FDR 5
lgs,pygo,fly,0.7173,FDR 1
lgs,arm,fly,0.5211,FDR 5
lgs,key,fly,0.2653,FDR 10
pygo,bin,fly,0.5075,FDR 5
pygo,Apc,fly,0.4526,FDR 5
pygo,ksr,diopt4,0.3992,FDR 5
pygo,CG10898,fly,0.3593,FDR 5
pygo,Axn,fly,0.27,FDR 10
pygo,btz,fly,0.2677,FDR 10
CG1792,M1BP,fly,0.6756,FDR 1
CG4935,CG8833,both,0.7169,FDR 1
CG4935,Raf,diopt4,0.3829,FDR 5
CG4935,alc,diopt4,0.3488,FDR 5
CG4935,Tlk,diopt4,0.2342,FDR 10
CG8833,CG3225,both,0.5227,FDR 5
CG8833,CG6843,fly,0.3835,FDR 5
CG8833,rdx,fly,0.3021,FDR 10
lmgA,vih,both,0.7169,FDR 1
lmgA,mr,both,0.5598,FDR 1
lmgA,CG2865,fly,0.3413,FDR 5
vih,mr,both,0.4564,FDR 5
vih,Hph,fly,0.2963,FDR 10
dimm,abd-A,fly,0.4601,FDR 5
dimm,nompB,fly,0.396,FDR 5
dimm,Doa,fly,0.3865,FDR 5
dimm,Ing3,fly,0.3683,FDR 5
dimm,CG8128,fly,0.3388,FDR 5
dimm,bap,fly,0.3291,FDR 10
dimm,mts,fly,0.311,FDR 10
dimm,CycJ,fly,0.2751,FDR 10
dimm,Ubx,fly,0.2578,FDR 10
Pp1-13C,CG32264,diopt4,0.7164,FDR 1
Pp1-13C,I-3,both,0.6913,FDR 1
Pp1-13C,PPP1R15,both,0.6717,FDR 1
Pp1-13C,I-2,both,0.6701,FDR 1
Pp1-13C,CG31244,fly,0.644,FDR 1
Pp1-13C,uri,both,0.6336,FDR 1
Pp1-13C,Nop17l,both,0.6086,FDR 1
Pp1-13C,Sara,both,0.591,FDR 1
Pp1-13C,Zasp66,fly,0.5882,FDR 1
Pp1-13C,ZAP3,both,0.5842,FDR 1
Pp1-13C,CG42748,fly,0.5684,FDR 1
Pp1-13C,CG7029,fly,0.563,FDR 1
Pp1-13C,mars,fly,0.561,FDR 1
Pp1-13C,Spindly,fly,0.5581,FDR 1
Pp1-13C,sds22,both,0.5568,FDR 1
Pp1-13C,neb,both,0.5523,FDR 1
Pp1-13C,corolla,fly,0.5468,FDR 5
Pp1-13C,pico,both,0.5438,FDR 5
Pp1-13C,ASPP,both,0.5359,FDR 5
Pp1-13C,foxo,diopt4,0.5178,FDR 5
Pp1-13C,ec,fly,0.5176,FDR 5
Pp1-13C,NiPp1,both,0.5096,FDR 5
Pp1-13C,Ppi1,fly,0.5016,FDR 5
Pp1-13C,RpL10,diopt4,0.4542,FDR 5
Pp1-13C,C15,diopt4,0.414,FDR 5
Pp1-13C,slp2,diopt4,0.3814,FDR 5
Pp1-13C,HP1c,diopt4,0.3713,FDR 5
Pp1-13C,Su(z)2,diopt4,0.3658,FDR 5
Pp1-13C,Met,diopt4,0.3415,FDR 5
Pp1-13C,CG7839,diopt4,0.3302,FDR 10
Pp1-13C,CG6686,diopt4,0.329,FDR 10
Pp1-13C,Asx,diopt4,0.3259,FDR 10
Pp1-13C,Kdm4A,diopt4,0.3153,FDR 10
Pp1-13C,NFAT,diopt4,0.2956,FDR 10
Pp1-13C,Mef2,diopt4,0.2801,FDR 10
Pp1-13C,ey,diopt4,0.2689,FDR 10
Pp1-13C,CG6701,diopt4,0.2638,FDR 10
Pp1-13C,Tab2,diopt4,0.2445,FDR 10
Pp1-13C,Dsp1,diopt4,0.2376,FDR 10
Pp1-13C,Nelf-A,diopt4,0.2314,FDR 10
CG32264,Pp1-87B,both,0.7159,FDR 1
CG32264,flw,diopt4,0.6959,FDR 1
CG32264,CG12470,fly,0.6583,FDR 1
CG32264,Pp1-Y2,diopt4,0.5676,FDR 1
CG32264,Pp1-Y1,diopt4,0.5652,FDR 1
CG32264,homer,fly,0.5608,FDR 1
CG32264,PpN58A,diopt4,0.5555,FDR 1
CG32264,Eip78C,fly,0.5029,FDR 5
CG32264,Vps25,fly,0.4449,FDR 5
CG32264,PpY-55A,diopt4,0.3919,FDR 5
CG32264,PpD6,diopt4,0.3617,FDR 5
CG32264,PpD5,diopt4,0.3207,FDR 10
CG32264,CG11597,diopt4,0.2831,FDR 10
CG32264,Hakai,fly,0.2728,FDR 10
CG34324,CG6980,fly,0.5741,FDR 1
CG34324,sxc,fly,0.4137,FDR 5
CG34324,Rev7,fly,0.2898,FDR 10
CG34324,CG8952,fly,0.2585,FDR 10
Pp1-87B,CG13994,both,0.7041,FDR 1
Pp1-87B,CG12620,both,0.7009,FDR 1
Pp1-87B,I-3,both,0.6986,FDR 1
Pp1-87B,CG15705,fly,0.6985,FDR 1
Pp1-87B,I-2,both,0.6938,FDR 1
Pp1-87B,CG6380,both,0.6879,FDR 1
Pp1-87B,PPP1R15,both,0.6761,FDR 1
Pp1-87B,CG31244,fly,0.6365,FDR 1
Pp1-87B,Nop17l,both,0.6266,FDR 1
Pp1-87B,uri,both,0.6063,FDR 1
Pp1-87B,sds22,both,0.5963,FDR 1
Pp1-87B,Sara,both,0.5917,FDR 1
Pp1-87B,CG9170,fly,0.587,FDR 1
Pp1-87B,MYPT-75D,both,0.5824,FDR 1
Pp1-87B,mars,fly,0.5798,FDR 1
Pp1-87B,HP5,fly,0.5769,FDR 1
Pp1-87B,CG42748,fly,0.5672,FDR 1
Pp1-87B,corolla,fly,0.5621,FDR 1
Pp1-87B,Spindly,fly,0.5619,FDR 1
Pp1-87B,CG7029,fly,0.5598,FDR 1
Pp1-87B,ey,diopt4,0.5548,FDR 1
Pp1-87B,Mbs,both,0.5491,FDR 5
Pp1-87B,neb,both,0.5447,FDR 5
Pp1-87B,CG34377,fly,0.5399,FDR 5
Pp1-87B,ZAP3,both,0.5363,FDR 5
Pp1-87B,ASPP,both,0.5311,FDR 5
Pp1-87B,Zasp66,fly,0.5244,FDR 5
Pp1-87B,Hr39,fly,0.5207,FDR 5
Pp1-87B,pico,both,0.5206,FDR 5
Pp1-87B,ec,fly,0.5026,FDR 5
Pp1-87B,Ptx1,diopt4,0.502,FDR 5
Pp1-87B,prd1,fly,0.489,FDR 5
Pp1-87B,fd102C,diopt4,0.472,FDR 5
Pp1-87B,HP1c,diopt4,0.4567,FDR 5
Pp1-87B,Su(var)2-10,diopt4,0.4375,FDR 5
Pp1-87B,tj,diopt4,0.4123,FDR 5
Pp1-87B,Ppi1,fly,0.4095,FDR 5
Pp1-87B,C15,diopt4,0.4055,FDR 5
Pp1-87B,mri,both,0.4049,FDR 5
Pp1-87B,Su(z)2,diopt4,0.3903,FDR 5
Pp1-87B,trx,fly,0.3758,FDR 5
Pp1-87B,stc,diopt4,0.3649,FDR 5
Pp1-87B,Pc,fly,0.3559,FDR 5
Pp1-87B,su(sable),diopt4,0.34,FDR 5
Pp1-87B,slp2,diopt4,0.3205,FDR 10
Pp1-87B,RpL10,diopt4,0.3119,FDR 10
Pp1-87B,CG7839,diopt4,0.3063,FDR 10
Pp1-87B,Met,diopt4,0.3041,FDR 10
Pp1-87B,CG6701,both,0.294,FDR 10
Pp1-87B,Hakai,diopt4,0.2929,FDR 10
Pp1-87B,AstC-R1,both,0.2909,FDR 10
Pp1-87B,Asx,diopt4,0.2816,FDR 10
Pp1-87B,CG4282,fly,0.2816,FDR 10
Pp1-87B,Doa,both,0.2544,FDR 10
Pp1-87B,Kdm4A,diopt4,0.2436,FDR 10
Pp1-87B,Mef2,diopt4,0.2389,FDR 10
Pp1-87B,sut4,diopt4,0.2372,FDR 10
Pp1-87B,Tab2,diopt4,0.2289,FDR 10
baf,bocks,fly,0.7156,FDR 1
baf,Ote,fly,0.6705,FDR 1
baf,MAN1,both,0.2483,FDR 10
bocks,CG8289,fly,0.6566,FDR 1
bocks,MAN1,fly,0.4138,FDR 5
bocks,Ndf,fly,0.3925,FDR 5
bocks,Ote,fly,0.243,FDR 10
CG7024,muc,diopt4,0.4611,FDR 5
CG7024,Nc73EF,diopt4,0.4079,FDR 5
CG7024,CG33791,diopt4,0.268,FDR 10
Cdk1,Cks85A,both,0.7153,FDR 1
Cdk1,CycB,both,0.7149,FDR 1
Cdk1,Cks30A,both,0.7122,FDR 1
Cdk1,CycA,both,0.7043,FDR 1
Cdk1,CycB3,both,0.7001,FDR 1
Cdk1,CycE,both,0.6769,FDR 1
Cdk1,Cdk5alpha,diopt4,0.6516,FDR 1
Cdk1,CycH,both,0.6167,FDR 1
Cdk1,CycJ,both,0.6129,FDR 1
Cdk1,ERR,diopt4,0.5942,FDR 1
Cdk1,twe,both,0.5909,FDR 1
Cdk1,CycC,both,0.5859,FDR 1
Cdk1,CycK,both,0.5837,FDR 1
